Booking_ID,Booking_Date,City,Vehicle_Type,Booking_Status,Fare_Amount
1,2024-03-01 00:00:00,Delhi,Bike,Completed,605
2,2024-03-01 01:00:00,Bangalore,Mini,Completed,380
3,2024-03-01 02:00:00,Mumbai,Auto,Completed,774
4,2024-03-01 03:00:00,Pune,Sedan,Completed,1032
5,2024-03-01 04:00:00,Mumbai,Auto,Completed,814
6,2024-03-01 05:00:00,Pune,Sedan,Completed,707
7,2024-03-01 06:00:00,Pune,Bike,Completed,582
8,2024-03-01 07:00:00,Bangalore,Bike,Completed,1346
9,2024-03-01 08:00:00,Pune,Bike,Completed,216
10,2024-03-01 09:00:00,Mumbai,Sedan,Completed,1067
11,2024-03-01 10:00:00,Pune,Bike,Driver_No_Show,291
12,2024-03-01 11:00:00,Delhi,Bike,Completed,887
13,2024-03-01 12:00:00,Bangalore,Bike,Completed,717
14,2024-03-01 13:00:00,Bangalore,Bike,Completed,615
15,2024-03-01 14:00:00,Delhi,Auto,Cancelled,406
16,2024-03-01 15:00:00,Delhi,Bike,Cancelled,631
17,2024-03-01 16:00:00,Delhi,Bike,Completed,221
18,2024-03-01 17:00:00,Pune,Auto,Completed,748
19,2024-03-01 18:00:00,Bangalore,Auto,Completed,691
20,2024-03-01 19:00:00,Delhi,Sedan,Completed,1277
21,2024-03-01 20:00:00,Pune,Mini,Completed,969
22,2024-03-01 21:00:00,Delhi,Bike,Cancelled,1292
23,2024-03-01 22:00:00,Mumbai,Bike,Completed,158
24,2024-03-01 23:00:00,Mumbai,Bike,Completed,400
25,2024-03-02 00:00:00,Bangalore,Sedan,Completed,652
26,2024-03-02 01:00:00,Pune,Bike,Completed,1240
27,2024-03-02 02:00:00,Mumbai,Mini,Cancelled,1250
28,2024-03-02 03:00:00,Mumbai,Auto,Cancelled,498
29,2024-03-02 04:00:00,Pune,Sedan,Completed,614
30,2024-03-02 05:00:00,Delhi,Auto,Completed,904
31,2024-03-02 06:00:00,Pune,Bike,Completed,597
32,2024-03-02 07:00:00,Delhi,Bike,Completed,1041
33,2024-03-02 08:00:00,Mumbai,Bike,Completed,627
34,2024-03-02 09:00:00,Mumbai,Mini,Completed,497
35,2024-03-02 10:00:00,Mumbai,Mini,Cancelled,1388
36,2024-03-02 11:00:00,Bangalore,Sedan,Completed,1386
37,2024-03-02 12:00:00,Bangalore,Auto,Cancelled,535
38,2024-03-02 13:00:00,Bangalore,Bike,Completed,939
39,2024-03-02 14:00:00,Pune,Bike,Cancelled,459
40,2024-03-02 15:00:00,Mumbai,Bike,Completed,1252
41,2024-03-02 16:00:00,Mumbai,Bike,Completed,963
42,2024-03-02 17:00:00,Pune,Mini,Completed,733
43,2024-03-02 18:00:00,Bangalore,Auto,Cancelled,1364
44,2024-03-02 19:00:00,Pune,Auto,Completed,1345
45,2024-03-02 20:00:00,Bangalore,Sedan,Completed,313
46,2024-03-02 21:00:00,Mumbai,Mini,Completed,1015
47,2024-03-02 22:00:00,Delhi,Bike,Completed,691
48,2024-03-02 23:00:00,Bangalore,Auto,Completed,234
49,2024-03-03 00:00:00,Mumbai,Auto,Cancelled,853
50,2024-03-03 01:00:00,Mumbai,Mini,Completed,485
51,2024-03-03 02:00:00,Delhi,Sedan,Completed,1426
52,2024-03-03 03:00:00,Mumbai,Sedan,Completed,1410
53,2024-03-03 04:00:00,Mumbai,Bike,Completed,1312
54,2024-03-03 05:00:00,Bangalore,Sedan,Completed,1420
55,2024-03-03 06:00:00,Bangalore,Auto,Completed,488
56,2024-03-03 07:00:00,Delhi,Sedan,Completed,843
57,2024-03-03 08:00:00,Delhi,Bike,Completed,1384
58,2024-03-03 09:00:00,Mumbai,Auto,Driver_No_Show,803
59,2024-03-03 10:00:00,Bangalore,Sedan,Completed,1024
60,2024-03-03 11:00:00,Delhi,Sedan,Completed,872
61,2024-03-03 12:00:00,Delhi,Mini,Cancelled,1236
62,2024-03-03 13:00:00,Pune,Bike,Completed,963
63,2024-03-03 14:00:00,Delhi,Sedan,Completed,1159
64,2024-03-03 15:00:00,Mumbai,Mini,Completed,178
65,2024-03-03 16:00:00,Bangalore,Auto,Cancelled,1398
66,2024-03-03 17:00:00,Delhi,Mini,Completed,1401
67,2024-03-03 18:00:00,Pune,Mini,Completed,773
68,2024-03-03 19:00:00,Bangalore,Sedan,Completed,411
69,2024-03-03 20:00:00,Delhi,Sedan,Completed,303
70,2024-03-03 21:00:00,Pune,Sedan,Completed,1084
71,2024-03-03 22:00:00,Delhi,Mini,Completed,116
72,2024-03-03 23:00:00,Bangalore,Auto,Completed,575
73,2024-03-04 00:00:00,Bangalore,Bike,Completed,1116
74,2024-03-04 01:00:00,Bangalore,Mini,Completed,309
75,2024-03-04 02:00:00,Mumbai,Sedan,Completed,598
76,2024-03-04 03:00:00,Delhi,Bike,Completed,528
77,2024-03-04 04:00:00,Mumbai,Auto,Completed,1201
78,2024-03-04 05:00:00,Bangalore,Bike,Cancelled,1203
79,2024-03-04 06:00:00,Pune,Sedan,Completed,1429
80,2024-03-04 07:00:00,Delhi,Mini,Completed,157
81,2024-03-04 08:00:00,Mumbai,Mini,Cancelled,1331
82,2024-03-04 09:00:00,Delhi,Sedan,Completed,1258
83,2024-03-04 10:00:00,Pune,Mini,Completed,1093
84,2024-03-04 11:00:00,Mumbai,Sedan,Completed,621
85,2024-03-04 12:00:00,Bangalore,Mini,Completed,680
86,2024-03-04 13:00:00,Mumbai,Mini,Cancelled,998
87,2024-03-04 14:00:00,Delhi,Mini,Driver_No_Show,1206
88,2024-03-04 15:00:00,Delhi,Auto,Completed,720
89,2024-03-04 16:00:00,Delhi,Auto,Completed,1167
90,2024-03-04 17:00:00,Delhi,Sedan,Completed,1065
91,2024-03-04 18:00:00,Bangalore,Auto,Completed,1009
92,2024-03-04 19:00:00,Mumbai,Sedan,Cancelled,592
93,2024-03-04 20:00:00,Bangalore,Bike,Cancelled,598
94,2024-03-04 21:00:00,Bangalore,Bike,Completed,1141
95,2024-03-04 22:00:00,Bangalore,Auto,Completed,704
96,2024-03-04 23:00:00,Delhi,Bike,Completed,1047
97,2024-03-05 00:00:00,Delhi,Bike,Completed,393
98,2024-03-05 01:00:00,Delhi,Mini,Cancelled,1271
99,2024-03-05 02:00:00,Mumbai,Mini,Completed,271
100,2024-03-05 03:00:00,Pune,Sedan,Cancelled,630
101,2024-03-05 04:00:00,Delhi,Bike,Completed,1243
102,2024-03-05 05:00:00,Mumbai,Sedan,Completed,165
103,2024-03-05 06:00:00,Delhi,Sedan,Completed,240
104,2024-03-05 07:00:00,Delhi,Bike,Completed,545
105,2024-03-05 08:00:00,Bangalore,Auto,Completed,288
106,2024-03-05 09:00:00,Bangalore,Bike,Cancelled,257
107,2024-03-05 10:00:00,Bangalore,Mini,Completed,769
108,2024-03-05 11:00:00,Mumbai,Bike,Completed,345
109,2024-03-05 12:00:00,Pune,Auto,Completed,955
110,2024-03-05 13:00:00,Pune,Sedan,Completed,1043
111,2024-03-05 14:00:00,Mumbai,Sedan,Completed,847
112,2024-03-05 15:00:00,Delhi,Mini,Driver_No_Show,1156
113,2024-03-05 16:00:00,Mumbai,Mini,Completed,1484
114,2024-03-05 17:00:00,Delhi,Mini,Completed,429
115,2024-03-05 18:00:00,Mumbai,Sedan,Completed,611
116,2024-03-05 19:00:00,Mumbai,Mini,Completed,949
117,2024-03-05 20:00:00,Mumbai,Bike,Completed,1194
118,2024-03-05 21:00:00,Pune,Sedan,Completed,1436
119,2024-03-05 22:00:00,Bangalore,Auto,Completed,178
120,2024-03-05 23:00:00,Mumbai,Sedan,Completed,268
121,2024-03-06 00:00:00,Pune,Bike,Completed,909
122,2024-03-06 01:00:00,Bangalore,Bike,Completed,1082
123,2024-03-06 02:00:00,Bangalore,Mini,Driver_No_Show,279
124,2024-03-06 03:00:00,Mumbai,Sedan,Completed,359
125,2024-03-06 04:00:00,Delhi,Sedan,Completed,1128
126,2024-03-06 05:00:00,Delhi,Sedan,Completed,396
127,2024-03-06 06:00:00,Delhi,Auto,Completed,719
128,2024-03-06 07:00:00,Mumbai,Mini,Driver_No_Show,954
129,2024-03-06 08:00:00,Delhi,Bike,Cancelled,459
130,2024-03-06 09:00:00,Pune,Bike,Completed,216
131,2024-03-06 10:00:00,Pune,Mini,Completed,456
132,2024-03-06 11:00:00,Pune,Bike,Completed,1056
133,2024-03-06 12:00:00,Pune,Bike,Completed,538
134,2024-03-06 13:00:00,Bangalore,Mini,Completed,1454
135,2024-03-06 14:00:00,Pune,Bike,Cancelled,1311
136,2024-03-06 15:00:00,Delhi,Sedan,Driver_No_Show,1404
137,2024-03-06 16:00:00,Mumbai,Auto,Driver_No_Show,1238
138,2024-03-06 17:00:00,Delhi,Mini,Cancelled,1359
139,2024-03-06 18:00:00,Pune,Auto,Completed,1461
140,2024-03-06 19:00:00,Bangalore,Bike,Completed,621
141,2024-03-06 20:00:00,Pune,Bike,Completed,298
142,2024-03-06 21:00:00,Mumbai,Sedan,Completed,1173
143,2024-03-06 22:00:00,Delhi,Mini,Completed,1265
144,2024-03-06 23:00:00,Mumbai,Bike,Cancelled,769
145,2024-03-07 00:00:00,Mumbai,Mini,Cancelled,1153
146,2024-03-07 01:00:00,Mumbai,Mini,Cancelled,1205
147,2024-03-07 02:00:00,Delhi,Mini,Cancelled,130
148,2024-03-07 03:00:00,Pune,Mini,Driver_No_Show,1107
149,2024-03-07 04:00:00,Mumbai,Mini,Completed,432
150,2024-03-07 05:00:00,Delhi,Auto,Cancelled,759
151,2024-03-07 06:00:00,Bangalore,Sedan,Completed,276
152,2024-03-07 07:00:00,Delhi,Mini,Completed,469
153,2024-03-07 08:00:00,Bangalore,Auto,Driver_No_Show,646
154,2024-03-07 09:00:00,Delhi,Bike,Cancelled,634
155,2024-03-07 10:00:00,Pune,Mini,Completed,1229
156,2024-03-07 11:00:00,Mumbai,Bike,Completed,196
157,2024-03-07 12:00:00,Pune,Mini,Completed,329
158,2024-03-07 13:00:00,Delhi,Auto,Completed,326
159,2024-03-07 14:00:00,Mumbai,Auto,Cancelled,470
160,2024-03-07 15:00:00,Bangalore,Auto,Completed,1223
